Stage,Water (ML),Operation
Scheme,429396,Mareeba Dimbulah
Operation,0,Mareeba Dimbulah
Type,0,Mareeba Dimbulah
Scheme,0,Arriga
Operation,24408.499,Arriga
Type,24408.499,Arriga
Scheme,0,Atherton Creek
Operation,24611.726,Atherton Creek
Type,0,Atherton Creek
