ID,Type,Priority,Operation,Scheme,Water (ML),Date
104737,Irrigation,Medium,Mareeba ,Mareeba Dimbulah,0,2017-2018 Q1
104740,Irrigation,#N/A,#N/A,#N/A,18.165,2017-2018 Q1
104742,Irrigation,Medium,Biboohra,Mareeba Dimbulah,27.31,2017-2018 Q1
104745,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,2.849,2017-2018 Q1
104746,Irrigation,Medium,East Barron ,Mareeba Dimbulah,0,2017-2018 Q1
104747,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,1.3,2017-2018 Q1
104748,Irrigation,Medium,Mareeba ,Mareeba Dimbulah,48.669,2017-2018 Q1
104751,Irrigation,Medium,East Barron ,Mareeba Dimbulah,24.054,2017-2018 Q1
104754,Irrigation,Medium,West Barron ,Mareeba Dimbulah,27.93,2017-2018 Q1
104758,Irrigation,Medium,Southedge ,Mareeba Dimbulah,0,2017-2018 Q1
104762,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,14.575,2017-2018 Q1
104764,Irrigation,Medium,Mareeba ,Mareeba Dimbulah,0,2017-2018 Q1
104766,Irrigation,Medium,Mareeba ,Mareeba Dimbulah,1.31,2017-2018 Q1
104767,Irrigation,Medium,Mareeba ,Mareeba Dimbulah,0,2017-2018 Q1
104768,Industrial,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0.197,2017-2018 Q1
104769,Industrial,Medium,Mareeba ,Mareeba Dimbulah,7.665,2017-2018 Q1
104778,Irrigation,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0,2017-2018 Q1
104782,Irrigation,Medium,Mareeba ,Mareeba Dimbulah,1.65,2017-2018 Q1
104785,Irrigation,Medium,Paddys Green relift ,Mareeba Dimbulah,17.113,2017-2018 Q1
104791,Irrigation,Medium,Mareeba ,Mareeba Dimbulah,19.2,2017-2018 Q1
104792,Irrigation,Medium,South Walsh ,Mareeba Dimbulah,150.09,2017-2018 Q1
104802,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
104807,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0.507,2017-2018 Q1
104811,#N/A,Medium,Southedge ,Mareeba Dimbulah,90.568,2017-2018 Q1
104813,#N/A,Medium,Price Creek relift,Mareeba Dimbulah,0.339,2017-2018 Q1
104815,#N/A,Medium,Mareeba ,Mareeba Dimbulah,228.585,2017-2018 Q1
104816,#N/A,Medium,Paddys Green relift ,Mareeba Dimbulah,40.8,2017-2018 Q1
104820,#N/A,Medium,Mareeba ,Mareeba Dimbulah,1.5,2017-2018 Q1
104821,#N/A,Medium,Mareeba ,Mareeba Dimbulah,41.887,2017-2018 Q1
104827,#N/A,Medium,East Barron ,Mareeba Dimbulah,5.794,2017-2018 Q1
104828,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0,2017-2018 Q1
104829,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,0,2017-2018 Q1
104836,#N/A,Medium,South Walsh ,Mareeba Dimbulah,19.759,2017-2018 Q1
104838,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0,2017-2018 Q1
104839,#N/A,Medium,Biboohra,Mareeba Dimbulah,715.92,2017-2018 Q1
104841,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,8.685,2017-2018 Q1
104842,#N/A,Medium,West Barron ,Mareeba Dimbulah,0,2017-2018 Q1
104845,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,5.283,2017-2018 Q1
104850,#N/A,Medium,East Barron ,Mareeba Dimbulah,0,2017-2018 Q1
104854,#N/A,Medium,Price Creek relift,Mareeba Dimbulah,9.196,2017-2018 Q1
104858,#N/A,Medium,South Walsh ,Mareeba Dimbulah,3.69,2017-2018 Q1
104863,#N/A,Medium,South Walsh ,Mareeba Dimbulah,13.76,2017-2018 Q1
104864,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
104865,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0,2017-2018 Q1
104872,#N/A,Medium,East Barron ,Mareeba Dimbulah,45.457,2017-2018 Q1
104881,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
104884,#N/A,Medium,East Barron ,Mareeba Dimbulah,0,2017-2018 Q1
104897,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0,2017-2018 Q1
104898,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,0.16,2017-2018 Q1
104899,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0,2017-2018 Q1
104900,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,2.498,2017-2018 Q1
104904,#N/A,Medium,South Walsh ,Mareeba Dimbulah,8.942,2017-2018 Q1
104910,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0,2017-2018 Q1
104912,#N/A,Medium,East Barron ,Mareeba Dimbulah,4.539,2017-2018 Q1
104914,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
104915,#N/A,#N/A,#N/A,#N/A,0.166,2017-2018 Q1
104916,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,0,2017-2018 Q1
104917,#N/A,Medium,East Barron ,Mareeba Dimbulah,1.972,2017-2018 Q1
104919,#N/A,Medium,South Walsh ,Mareeba Dimbulah,23.091,2017-2018 Q1
104920,#N/A,Medium,East Barron ,Mareeba Dimbulah,0,2017-2018 Q1
104923,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,10.189,2017-2018 Q1
104926,#N/A,Medium,East Barron ,Mareeba Dimbulah,0.815,2017-2018 Q1
104927,#N/A,Medium,East Barron ,Mareeba Dimbulah,8.972,2017-2018 Q1
104936,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0,2017-2018 Q1
104940,#N/A,Medium,Mareeba ,Mareeba Dimbulah,0.203,2017-2018 Q1
104942,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
104946,#N/A,Medium,South Walsh ,Mareeba Dimbulah,6.472,2017-2018 Q1
104958,#N/A,Medium,East Barron ,Mareeba Dimbulah,4.088,2017-2018 Q1
104962,#N/A,Medium,Atherton Creek,Mareeba Dimbulah,35.06,2017-2018 Q1
104964,#N/A,#N/A,#N/A,#N/A,3.511,2017-2018 Q1
104969,#N/A,Medium,East Barron ,Mareeba Dimbulah,1.102,2017-2018 Q1
104974,#N/A,Medium,South Walsh ,Mareeba Dimbulah,0.051,2017-2018 Q1
104978,#N/A,Medium,East Barron ,Mareeba Dimbulah,5.176,2017-2018 Q1
104979,#N/A,Medium,South Walsh ,Mareeba Dimbulah,24.552,2017-2018 Q1
104984,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,1.794,2017-2018 Q1
104985,#N/A,#N/A,#N/A,#N/A,7.404,2017-2018 Q1
104991,#N/A,Medium,Barron River & Tinaroo Falls Dam ,Mareeba Dimbulah,9.54,2017-2018 Q1
104993,#N/A,Medium,East Barron ,Mareeba Dimbulah,0,2017-2018 Q1
104994,#N/A,Medium,East Barron ,Mareeba Dimbulah,1.843,2017-2018 Q1
104996,#N/A,Medium,East Barron ,Mareeba Dimbulah,7.227,2017-2018 Q1
104998,#N/A,Medium,Paddys Green relift ,Mareeba Dimbulah,12.28,2017-2018 Q1
104999,#N/A,Medium,East Barron ,Mareeba Dimbulah,1.926,2017-2018 Q1
105001,#N/A,#N/A,#N/A,#N/A,0,2017-2018 Q1
105002,#N/A,#N/A,#N/A,#N/A,0.101,2017-2018 Q1
