Region,Scheme,Profit Centre,Offtake #,% of Total Water Delivered,Average Delivery,2023 Water Delivered to Date
North,Mareeba Dimbulah,Chnl & Supp Dist,98,0.08%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,95,0.06%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,182,0.05%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,15,0.05%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,289,0.05%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,167,0.04%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,55,0.04%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,123,0.04%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,102,0.04%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,169,0.04%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,288,0.04%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,385,0.04%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,34,0.04%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,235,0.04%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,54,0.04%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,4,0.04%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,406,0.03%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,486,0.03%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,381,0.03%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,61,0.03%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,230,0.03%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,404,0.03%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,262,0.03%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,201,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,147,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,234,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,227,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,377,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,5,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,739,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,325,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,114,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,140,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,402,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,14,0.02%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,1,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,802,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,151,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,463,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,79,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,536,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,772,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,82,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,30,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,773,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,676,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,216,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,133,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,615,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,804,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,383,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,231,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,524,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,80,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,637,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,371,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,24,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,553,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,980,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,365,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,423,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,215,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,425,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,635,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,548,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,407,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1063,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,152,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,356,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,223,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,413,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,713,0.02%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,277,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,945,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,469,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,692,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,439,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,432,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,84,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,426,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,75,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,436,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,6316,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,373,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,429,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,435,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,220,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1007,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,6101,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,642,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,148,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,539,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1175,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,606,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,938,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,584,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,121,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,6988,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,590,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,354,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,570,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,6,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,457,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,63,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,545,0.01%,#N/A,#N/A
North,Burdekin Haughton,Burdekin River,5822,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,512,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,346,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,372,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,708,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,538,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,424,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,997,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,780,0.01%,#N/A,#N/A
North,Burdekin Haughton,Burdekin River,6139,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1179,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,664,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1136,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,164,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,612,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,338,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,13,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,7,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,954,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,7384,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,286,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,714,0.01%,#N/A,#N/A
North,Burdekin Haughton,Burdekin River,6498,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,965,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,6739,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,8544,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,411,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,786,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,843,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,691,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,5461,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,382,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1167,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,358,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,65,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,11,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,380,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,535,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,7258,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,85,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,8312,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,21604,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,5895,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,35019,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,221,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,626,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,6452,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,6010,0.01%,#N/A,#N/A
South,Chinchilla Weir,Chinchilla River,5062,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,37002,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,34993,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,8351,0.01%,#N/A,#N/A
North,Burdekin Haughton,Burdekin River,5823,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,672,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,8403,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,634,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,39114,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,621,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,470,0.01%,#N/A,#N/A
South,Chinchilla Weir,Chinchilla River,5030,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,509,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,674,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,474,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,616,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Kolan B & Bucca WR,30427,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1198,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,6046,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,16467,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,30854,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,925,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,437,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,550,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,628,0.01%,#N/A,#N/A
Central,Callide Valley,Callide Benefit Area,33941,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,557,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,347,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,339,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,4653,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,35371,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,181,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,1183,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,37873,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,39049,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,34955,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,39073,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Kolan B & Bucca WR,41657,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,34941,0.01%,#N/A,#N/A
Central,Callide Valley,Callide Benefit Area,32903,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,4755,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,33162,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,601,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,613,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1190,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,659,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,500,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,35021,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1168,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,440,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,452,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,21423,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1180,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,21618,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1181,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,5892,0.01%,#N/A,#N/A
South,Chinchilla Weir,Chinchilla River,200,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,591,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,7383,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,645,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,8316,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,30237,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1084,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,5818,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,36764,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,552,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,5104,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,39145,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,514,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,646,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,707,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,35536,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,34960,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,8521,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,39050,0.01%,#N/A,#N/A
Burnett and Lower Mary,Barker Barambah,Barker Bar River,50104,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,8050,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,46912,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,39175,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,6648,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,418,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,38403,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,476,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,21414,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,428,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,46931,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,35617,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,13375,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,276,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,30661,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,39122,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,7781,0.01%,#N/A,#N/A
South,Chinchilla Weir,Chinchilla River,5230,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,6849,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,35508,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1162,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1011,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,7844,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,644,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,218,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,34820,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,44612,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,648,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,427,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,561,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,5357,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,100,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,39424,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,480,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,8402,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,7195,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,29533,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,16697,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,475,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1096,0.01%,#N/A,#N/A
Burnett and Lower Mary,Boyne River & Tarong,Boyne River,41618,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,36986,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1184,0.01%,#N/A,#N/A
Burnett and Lower Mary,Lower Mary River,Tinana Creek,52008,0.01%,#N/A,#N/A
Burnett and Lower Mary,Barker Barambah,Barker Bar River,12915,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,8022,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1002,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,531,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,352,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,8318,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,177,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,89,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,39173,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,53304,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,414,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,316,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,451,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Price,537,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,39821,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,53312,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,21373,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,5210,0.01%,#N/A,#N/A
Burnett and Lower Mary,Barker Barambah,Barker Bar River,57966,0.01%,#N/A,#N/A
Burnett and Lower Mary,Upper Burnett Supply,Upper Burnett River,5987,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,266,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,378,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,37872,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,340,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,55069,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,563,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,15777,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,1016,0.01%,#N/A,#N/A
South,Chinchilla Weir,Chinchilla River,5626,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,48399,0.01%,#N/A,#N/A
Burnett and Lower Mary,Barker Barambah,Barker Bar River,47376,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,74105,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,21,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,608,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,282,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,A C River,30855,0.01%,#N/A,#N/A
North,Burdekin Haughton,Burdekin River,38651,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,42723,0.01%,#N/A,#N/A
Burnett and Lower Mary,Three Moon Creek,Three Mn Ck River,21609,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Relift Ch Dist-Paddy,417,0.01%,#N/A,#N/A
Burnett and Lower Mary,Bundaberg,Kolan B & Bucca WR,30178,0.01%,#N/A,#N/A
North,Burdekin Haughton,Giru Benefitted Area,39822,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,576,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,270,0.01%,#N/A,#N/A
North,Mareeba Dimbulah,Chnl & Supp Dist,69,0.01%,#N/A,#N/A
